DZ11CD,IMD16
S01007430,4051
S01007431,6593
S01007432,2390
S01007433,3289
S01007434,688
S01007435,2396
S01007436,1167
S01007437,1764
S01007438,1811
S01007439,3051
S01007440,2878
S01007441,6192
S01007442,6883
S01007443,4995
S01007444,5923
S01007445,6081
S01007446,6489
S01007447,5901
S01007448,5106
S01007449,1539
S01007450,1313
S01007451,3002
S01007452,1812
S01007453,5096
S01007454,1678
S01007455,1346
S01007456,891
S01007457,1565
S01007458,5884
S01007459,4707
S01007460,1264
S01007461,148
S01007462,1848
S01007463,137
S01007464,609
S01007465,13
S01007466,348
S01007467,2176
S01007468,4973
S01007469,2022
S01007470,1081
S01007471,2001
S01007472,1961
S01007473,964
S01007474,4606
S01007475,5738
S01007476,4110
S01007477,5212
S01007478,3877
S01007479,2752
S01007480,3413
S01007481,5075
S01007482,1427
S01007483,2573
S01007484,816
S01007485,187
S01007486,135
S01007487,526
S01007488,2285
S01007489,3231
S01007490,1824
S01007491,2512
S01007492,2151
S01007493,2708
S01007494,2868
S01007495,3734
S01007496,2463
S01007497,2816
S01007498,2123
S01007499,2555
S01007500,1935
S01007501,2438
S01007502,2344
S01007503,2739
S01007504,3322
S01007505,2249
S01007506,3853
S01007507,2662
S01007508,2771
S01007509,3015
S01007510,3198
S01007511,1671
S01007512,3059
S01007513,2009
S01007514,2448
S01007515,5774
S01007516,2158
S01007517,3345
S01007518,3526
S01007519,2321
S01007520,2772
S01007521,4850
S01007522,3690
S01007523,3108
S01007524,3759
S01007525,4148
S01007526,2841
S01007527,4854
S01007528,3332
S01007529,5915
S01007530,4109
S01007531,3212
S01007532,4182
S01007533,2444
S01007534,3263
S01007535,3538
S01007536,3760
S01007537,3351
S01007538,3784
S01007539,6451
S01007540,2985
S01007541,4498
S01007542,2244
S01007543,2837
S01007544,4292
S01007545,4468
S01007546,4019
S01007547,3831
S01007548,3375
S01007549,3593
S01007550,3623
S01007551,3399
S01007552,1561
S01007553,1331
S01007554,579
S01007555,4346
S01007556,2088
S01007557,2525
S01007558,2568
S01007559,3736
S01007560,4313
S01007561,3686
S01007562,3565
S01007563,3899
S01007564,3381
S01007565,3131
S01007566,3628
S01007567,5088
S01007568,4102
S01007569,3705
S01007570,3844
S01007571,3460
S01007572,3494
S01007573,5094
S01007574,2756
S01007575,625
S01007576,204
S01007577,393
S01007578,582
S01007579,1288
S01007580,766
S01007581,1520
S01007582,1615
S01007583,457
S01007584,2142
S01007585,4149
S01007586,1926
S01007587,5127
S01007588,6198
S01007589,4359
S01007590,6844
S01007591,3887
S01007592,1576
S01007593,3815
S01007594,4004
S01007595,3185
S01007596,2350
S01007597,3620
S01007598,3811
S01007599,2648
S01007600,4096
S01007601,4977
S01007602,6144
S01007603,6347
S01007604,5842
S01007605,5255
S01007606,4853
S01007607,6601
S01007608,6149
S01007609,1095
S01007610,2618
S01007611,1462
S01007612,361
S01007613,3172
S01007614,6454
S01007615,3360
S01007616,2031
S01007617,1736
S01007618,2456
S01007619,2864
S01007620,5640
S01007621,4572
S01007622,4115
S01007623,6064
S01007624,4966
S01007625,5069
S01007626,5211
S01007627,6760
S01007628,5237
S01007629,3872
S01007630,4652
S01007631,4436
S01007632,4158
S01007633,4337
S01007634,3818
S01007635,4997
S01007636,3602
S01007637,3255
S01007638,3841
S01007639,2585
S01007640,3614
S01007641,3791
S01007642,4176
S01007643,5386
S01007644,3637
S01007645,4474
S01007646,2677
S01007647,5131
S01007648,5330
S01007649,4248
S01007650,4621
S01007651,3636
S01007652,2865
S01007653,4283
S01007654,2719
S01007655,3109
S01007656,2999
S01007657,4348
S01007658,3624
S01007659,3642
S01007660,1349
S01007661,2783
S01007662,2587
S01007663,4782
S01007664,1977
S01007665,3626
S01007666,4464
S01007667,5871
S01007668,2236
S01007669,900
S01007670,1859
S01007671,4047
S01007672,6393
S01007673,4742
S01007674,2147
S01007675,4516
S01007676,4789
S01007677,6655
S01007678,2802
S01007679,1688
S01007680,6554
S01007681,3484
S01007682,5614
S01007683,6222
S01007684,5994
S01007685,6912
S01007686,6378
S01007687,6407
S01007688,4818
S01007689,4974
S01007690,4270
S01007691,4936
S01007692,5229
S01007693,3373
S01007694,2225
S01007695,2960
S01007696,1932
S01007697,2991
S01007698,2129
S01007699,1184
S01007700,4058
S01007701,36
S01007702,6779
S01007703,3630
S01007704,126
S01007705,1496
S01007706,4397
S01007707,4173
S01007708,747
S01007709,634
S01007710,2671
S01007711,1471
S01007712,2921
S01007713,1359
S01007714,1870
S01007715,404
S01007716,679
S01007717,133
S01007718,813
S01007719,906
S01007720,2137
S01007721,2152
S01007722,197
S01007723,317
S01007724,247
S01007725,571
S01007726,769
S01007727,502
S01007728,914
S01007729,886
S01007730,1790
S01007731,2114
S01007732,1937
S01007733,4266
S01007734,5247
S01007735,5101
S01007736,5215
S01007737,3771
S01007738,4136
S01007739,3184
S01007740,4098
S01007741,1787
S01007742,2473
S01007743,1318
S01007744,496
S01007745,1134
S01007746,1193
S01007747,996
S01007748,343
S01007749,5145
S01007750,6020
S01007751,5402
S01007752,4242
S01007753,1438
S01007754,483
S01007755,486
S01007756,1114
S01007757,5919
S01007758,6159
S01007759,2786
S01007760,6835
S01007761,6439
S01007762,4511
S01007763,2395
S01007764,6070
S01007765,6016
S01007766,6420
S01007767,6172
S01007768,4915
S01007769,5618
S01007770,6682
S01007771,6727
S01007772,1762
S01007773,5931
S01007774,6477
S01007775,5307
S01007776,6263
S01007777,6408
S01007778,3189
S01007779,4230
S01007780,4708
S01007781,4114
S01007782,351
S01007783,110
S01007784,2450
S01007785,265
S01007786,2062
S01007787,1577
S01007788,411
S01007789,676
S01007790,300
S01007791,4403
S01007792,2090
S01007793,510
S01007794,2391
S01007795,2102
S01007796,1930
S01007797,764
S01007798,4781
S01007799,4455
S01007800,121
S01007801,76
S01007802,4900
S01007803,201
S01007804,234
S01007805,322
S01007806,1468
S01007807,3386
S01007808,968
S01007809,5920
S01007810,493
S01007811,716
S01007812,129
S01007813,752
S01007814,2484
S01007815,4960
S01007816,4702
S01007817,2743
S01007818,4208
S01007819,3859
S01007820,2044
S01007821,4306
S01007822,3995
S01007823,5368
S01007824,4613
S01007825,4640
S01007826,525
S01007827,2969
S01007828,1252
S01007829,2103
S01007830,2047
S01007831,1214
S01007832,1379
S01007833,2048
S01007834,1430
S01007835,3535
S01007836,3428
S01007837,5822
S01007838,5986
S01007839,2469
S01007840,1850
S01007841,1661
S01007842,253
S01007843,1131
S01007844,585
S01007845,379
S01007846,1476
S01007847,665
S01007848,325
S01007849,825
S01007850,849
S01007851,3112
S01007852,467
S01007853,79
S01007854,455
S01007855,294
S01007856,2589
S01007857,981
S01007858,1061
S01007859,431
S01007860,2337
S01007861,1248
S01007862,1221
S01007863,283
S01007864,1307
S01007865,6619
S01007866,5337
S01007867,4559
S01007868,5788
S01007869,6495
S01007870,2651
S01007871,178
S01007872,101
S01007873,1938
S01007874,1297
S01007875,1843
S01007876,2609
S01007877,1135
S01007878,979
S01007879,953
S01007880,3129
S01007881,881
S01007882,3585
S01007883,3810
S01007884,2397
S01007885,392
S01007886,1530
S01007887,5224
S01007888,1013
S01007889,1391
S01007890,2148
S01007891,2958
S01007892,4042
S01007893,5808
S01007894,3070
S01007895,4174
