LSOA11CD,LSOA11NM,IMD14
W01000850,Swansea 021B,429
W01001154,Rhondda Cynon Taf 003D,430
W01001200,Rhondda Cynon Taf 014A,431
W01000356,Wrexham 017C,432
W01000999,Bridgend 010A,433
W01001634,Newport 019B,434
W01000423,Wrexham 012D,435
W01001249,Rhondda Cynon Taf 024A,436
W01000941,Neath Port Talbot 012B,437
W01001261,Rhondda Cynon Taf 018F,438
W01001312,Merthyr Tydfil 006E,439
W01001026,Bridgend 012D,440
W01001491,Torfaen 004A,441
W01000405,Wrexham 015B,442
W01001663,Newport 008C,443
W01000454,Powys 013A,444
W01001748,Cardiff 027B,445
W01000973,Neath Port Talbot 020F,446
W01001870,Cardiff 037A,447
W01001321,Merthyr Tydfil 007D,448
W01000298,Flintshire 001B,449
W01001592,Monmouthshire 008D,450
W01000263,Flintshire 017D,451
W01001322,Merthyr Tydfil 007E,452
W01001455,Blaenau Gwent 008F,453
W01001080,The Vale of Glamorgan 012F,454
W01000848,Swansea 001D,455
W01001211,Rhondda Cynon Taf 008C,456
W01001435,Blaenau Gwent 008A,457
W01000214,Denbighshire 002B,458
W01001167,Rhondda Cynon Taf 016B,459
W01001181,Rhondda Cynon Taf 015B,460
W01000372,Wrexham 008C,461
W01001353,Caerphilly 007B,462
W01001145,Rhondda Cynon Taf 012C,463
W01000641,Carmarthenshire 008A,464
W01001052,Bridgend 008F,465
W01001004,Bridgend 009A,466
W01001787,Cardiff 023C,467
W01000167,Conwy 011C,468
W01000480,Powys 008A,469
W01000314,Flintshire 016B,470
W01000881,Swansea 029C,471
W01001137,Rhondda Cynon Taf 005A,472
W01001378,Caerphilly 013B,473
W01000254,Flintshire 003B,474
W01000655,Carmarthenshire 020C,475
W01000355,Wrexham 017B,476
W01001293,Merthyr Tydfil 004B,477
W01000657,Carmarthenshire 010B,478
W01000633,Carmarthenshire 021B,479
W01001444,Blaenau Gwent 005B,480
W01001676,Newport 007B,481
W01001231,Rhondda Cynon Taf 017D,482
W01001929,Wrexham 012F,483
W01001044,Bridgend 019C,484
W01001034,Bridgend 003F,485
W01001816,Cardiff 009B,486
W01000604,Pembrokeshire 013E,487
W01000568,Pembrokeshire 005A,488
W01000169,Conwy 001D,489
W01001760,Cardiff 046B,490
W01001527,Torfaen 010C,491
W01000342,Wrexham 009B,492
W01001902,Powys 017G,493
W01000157,Conwy 004C,494
W01001311,Merthyr Tydfil 002F,495
W01001009,Bridgend 004C,496
W01001093,The Vale of Glamorgan 013C,497
W01000172,Conwy 013E,498
W01001265,Rhondda Cynon Taf 007A,499
W01000003,Isle of Anglesey 001A,500
W01001363,Caerphilly 012A,501
W01000767,Swansea 015E,502
W01001792,Cardiff 005B,503
W01000907,Neath Port Talbot 007B,504
W01000732,Carmarthenshire 026D,505
W01000350,Wrexham 011B,506
W01000287,Flintshire 001A,507
W01000588,Pembrokeshire 010B,508
W01001830,Cardiff 033B,509
W01001706,Cardiff 041B,510
W01001678,Newport 005D,511
W01001247,Rhondda Cynon Taf 016C,512
W01000360,Wrexham 019D,513
W01000411,Wrexham 015C,514
W01001454,Blaenau Gwent 008E,515
W01000865,Swansea 019D,516
W01001497,Torfaen 011A,517
W01000897,Neath Port Talbot 013D,518
W01000965,Neath Port Talbot 002C,519
W01001153,Rhondda Cynon Taf 002C,520
W01001331,Caerphilly 018B,521
W01000127,Conwy 009B,522
W01001216,Rhondda Cynon Taf 011D,523
W01001702,Cardiff 045A,524
W01000928,Neath Port Talbot 020C,525
W01001539,Torfaen 009E,526
W01001336,Caerphilly 004A,527
W01000168,Conwy 002B,528
W01000510,Ceredigion 009D,529
W01001449,Blaenau Gwent 002D,530
W01000143,Conwy 007B,531
W01001430,Caerphilly 015B,532
W01001010,Bridgend 012B,533
W01000626,Carmarthenshire 013B,534
W01000320,Flintshire 002B,535
W01000515,Ceredigion 003A,536
W01000479,Powys 009B,537
W01001645,Newport 015D,538
W01000658,Carmarthenshire 010C,539
W01001176,Rhondda Cynon Taf 013A,540
W01001448,Blaenau Gwent 002C,541
W01001025,Bridgend 003D,542
W01000654,Carmarthenshire 023B,543
W01001802,Cardiff 007A,544
W01001313,Merthyr Tydfil 006F,545
W01001066,The Vale of Glamorgan 015D,546
W01001286,Rhondda Cynon Taf 014E,547
W01001278,Rhondda Cynon Taf 028E,548
W01000229,Denbighshire 017E,549
W01001790,Cardiff 023F,550
W01001042,Bridgend 004D,551
W01001812,Cardiff 017C,552
W01001285,Rhondda Cynon Taf 014D,553
W01000714,Carmarthenshire 013D,554
W01001461,Blaenau Gwent 007F,555
W01001460,Blaenau Gwent 007E,556
W01001362,Caerphilly 003C,557
W01001335,Caerphilly 005B,558
W01001205,Rhondda Cynon Taf 006B,559
W01000695,Carmarthenshire 012B,560
W01000499,Powys 003B,561
W01001338,Caerphilly 004C,562
W01000945,Neath Port Talbot 014E,563
W01001909,Monmouthshire 002F,564
W01001051,Bridgend 008E,565
W01001898,Merthyr Tydfil 008F,566
W01001045,Bridgend 019D,567
W01001450,Blaenau Gwent 007A,568
W01001632,Newport 017D,569
W01001900,Neath Port Talbot 020G,570
W01001171,Rhondda Cynon Taf 017A,571
W01000608,Pembrokeshire 015D,572
W01001489,Torfaen 001C,573
W01001050,Bridgend 008D,574
W01001071,The Vale of Glamorgan 009D,575
W01000932,Neath Port Talbot 019A,576
W01001440,Blaenau Gwent 001A,577
W01000688,Carmarthenshire 003B,578
W01000352,Wrexham 010A,579
W01001046,Bridgend 018C,580
W01001297,Merthyr Tydfil 002C,581
W01000968,Neath Port Talbot 019D,582
W01001749,Cardiff 027C,583
W01000966,Neath Port Talbot 018E,584
W01000787,Swansea 016C,585
W01001178,Rhondda Cynon Taf 023A,586
W01001610,Newport 015C,587
W01001401,Caerphilly 011A,588
W01001410,Caerphilly 016D,589
W01000970,Neath Port Talbot 005D,590
W01000516,Ceredigion 003B,591
W01000348,Wrexham 006B,592
W01001235,Rhondda Cynon Taf 021F,593
W01000730,Carmarthenshire 018D,594
W01000293,Flintshire 004D,595
W01000112,Gwynedd 008D,596
W01000586,Pembrokeshire 006C,597
W01000944,Neath Port Talbot 002B,598
W01001800,Cardiff 005D,599
W01001270,Rhondda Cynon Taf 010B,600
W01001598,Monmouthshire 010F,601
W01001682,Newport 006C,602
W01001438,Blaenau Gwent 004A,603
W01000978,Bridgend 004B,604
W01001429,Caerphilly 001F,605
W01001445,Blaenau Gwent 005C,606
W01001605,Newport 014A,607
W01001272,Rhondda Cynon Taf 010D,608
W01000703,Carmarthenshire 022A,609
W01000152,Conwy 005D,610
W01001189,Rhondda Cynon Taf 029C,611
W01001182,Rhondda Cynon Taf 021A,612
W01001413,Caerphilly 017C,613
W01000749,Swansea 026A,614
W01001688,Newport 019C,615
W01001415,Caerphilly 008B,616
W01000262,Flintshire 017C,617
W01000893,Neath Port Talbot 003A,618
W01000381,Wrexham 012A,619
W01001220,Rhondda Cynon Taf 018D,620
W01001405,Caerphilly 011E,621
W01000078,Gwynedd 011C,622
W01000140,Conwy 010B,623
